date,open,high,low,close,cap
2022-05-26 00:00,1.06936,1.0765,1.06624,1.07592,153825
2022-05-27 00:00,1.07592,1.07596,1.06968,1.07317,101753
2022-05-29 00:00,1.07347,1.07558,1.07261,1.07392,23076
2022-05-30 00:00,1.07392,1.07867,1.07342,1.07454,155242
2022-05-31 00:00,1.07457,1.07551,1.06789,1.07191,229223
2022-06-01 00:00,1.0719,1.07393,1.06271,1.06545,174745
2022-06-02 00:00,1.06545,1.07643,1.06495,1.07563,111459
2022-06-03 00:00,1.07562,1.07624,1.0704,1.07169,96724
2022-06-05 00:00,1.07167,1.07316,1.07099,1.07217,32508
2022-06-06 00:00,1.07219,1.07518,1.06705,1.06811,131779
2022-06-07 00:00,1.0681,1.07142,1.06519,1.06825,161052
2022-06-08 00:00,1.06826,1.07484,1.06713,1.07221,143447
2022-06-09 00:00,1.07222,1.07738,1.0611,1.06332,243397
2022-06-10 00:00,1.06328,1.06422,1.05057,1.05137,165630
2022-06-12 00:00,1.0513,1.05201,1.04756,1.04924,67186
2022-06-13 00:00,1.04922,1.04954,1.0397,1.0422,258758
2022-06-14 00:00,1.04221,1.04846,1.03997,1.04443,255671
2022-06-15 00:00,1.04442,1.05077,1.0359,1.04485,393753
2022-06-16 00:00,1.04483,1.06014,1.03808,1.05267,348495
2022-06-17 00:00,1.05268,1.05357,1.04444,1.04934,222057
2022-06-19 00:00,1.04731,1.05262,1.04729,1.05191,29481
2022-06-20 00:00,1.05191,1.05458,1.04979,1.05285,151552
2022-06-21 00:00,1.05285,1.05824,1.05021,1.05117,190343
2022-06-22 00:00,1.05116,1.06057,1.04687,1.05699,251462
2022-06-23 00:00,1.057,1.05792,1.04826,1.0532,275226
2022-06-24 00:00,1.0532,1.05712,1.05141,1.05519,128391
2022-06-26 00:00,1.05479,1.05746,1.05457,1.05549,49517
2022-06-27 00:00,1.0555,1.0615,1.05502,1.05782,204292
2022-06-28 00:00,1.05783,1.06061,1.05032,1.05272,281269
2022-06-29 00:00,1.0527,1.0535,1.04329,1.04552,294573
2022-06-30 00:00,1.04553,1.04887,1.03824,1.04612,239343
2022-07-01 00:00,1.04613,1.0474,1.03658,1.04262,150459
2022-07-03 00:00,1.04174,1.04442,1.04142,1.04371,30526
2022-07-04 00:00,1.04372,1.04627,1.0417,1.04304,193587
2022-07-05 00:00,1.04305,1.04485,1.0235,1.02636,288139
2022-07-06 00:00,1.02635,1.02765,1.01614,1.02039,219867
2022-07-07 00:00,1.02038,1.02209,1.01439,1.01596,119598
2022-07-08 00:00,1.01596,1.01907,1.0072,1.01822,210376
2022-07-10 00:00,1.01697,1.01834,1.01348,1.0152,71075
2022-07-11 00:00,1.01522,1.01544,1.00059,1.00242,310450
2022-07-12 00:00,1.00241,1.00738,0.99999,1.00384,348336
2022-07-13 00:00,1.00381,1.01222,0.99979,1.00382,389372
2022-07-14 00:00,1.00381,1.00503,0.99521,1.00275,452682
2022-07-15 00:00,1.00275,1.00979,1.00068,1.00821,206130
2022-07-17 00:00,1.00811,1.01143,1.00785,1.01075,35225
2022-07-18 00:00,1.01074,1.02011,1.00812,1.0137,226267
2022-07-19 00:00,1.01371,1.0269,1.0124,1.02435,269535
2022-07-20 00:00,1.02435,1.02729,1.01553,1.02079,214774
